Model,CV RMSE,CV R2,Test RMSE,Test R2,R2 Gap,RMSE Ratio,Overfitting Status,Model Status (Generalization)
XGBoost (Baseline),0.5396,0.7166,0.5283,0.7356,-0.019,0.9791,Low,Good
XGBoost (Optuna),0.5998,0.6496,0.588,0.6724,-0.0228,0.9803,Low,Fair
XGBoost (RandomSearchCV),0.5225,0.7342,0.5183,0.7455,-0.0113,0.992,Low,Good
RandomForest (Baseline),0.5458,0.7099,0.5401,0.7236,-0.0137,0.9896,Low,Good
RandomForest (Optuna),0.5512,0.7041,0.5422,0.7214,-0.0173,0.9837,Low,Good
RandomForest (HalvingRandomSearchCV),0.5255,0.731,0.5228,0.741,-0.01,0.9949,Low,Good
LightGBM (Baseline),0.533,0.7233,0.5253,0.7386,-0.0153,0.9856,Low,Good
LightGBM (Optuna),0.6084,0.6393,0.5922,0.6677,-0.0284,0.9734,Low,Fair
LightGBM (RandomSearchCV),0.5235,0.7331,0.518,0.7458,-0.0127,0.9895,Low,Good
CatBoost (Baseline),0.5375,0.7187,0.5178,0.7459,-0.0272,0.9633,Low,Good
CatBoost (Optuna),0.6004,0.6489,0.5225,0.7413,-0.0924,0.8703,Mild,Good
CatBoost (BayesianSearch),0.5222,0.7345,0.5172,0.7466,-0.0121,0.9904,Low,Good
