ItemWeight,FatContent,ItemType,MRP,OutletSize,LocationType,OutletType,OutletAge,OutletSales,Visibility,IsVisibile,IsGroceryStore,PricePerWeight
9.3,Low Fat,Dairy,249.8092,Medium,Tier 1,Supermarket Type1,26,8.22554004467553,0.015919904174950615,1,0,26.86120430107527
5.92,Regular,Soft Drinks,48.2692,Medium,Tier 3,Supermarket Type2,16,6.094523716699177,0.019094745434374658,1,0,8.15358108108108
17.5,Low Fat,Meat,141.618,Medium,Tier 1,Supermarket Type1,26,7.648391777978466,0.01662117477995341,1,0,8.092457142857143
19.2,Regular,Fruits and Vegetables,182.095,Small,Tier 3,Grocery Store,27,6.596299504945249,0.0,0,1,9.484114583333334
8.93,Low Fat,Household,53.8614,High,Tier 3,Supermarket Type1,38,6.9024464118515505,0.0,0,0,6.031511758118701
10.395,Regular,Baking Goods,51.4008,Medium,Tier 3,Supermarket Type2,16,6.3218626592434894,0.0,0,0,4.944761904761904
13.65,Regular,Snack Foods,57.6588,High,Tier 3,Supermarket Type1,38,5.8393408116403505,0.012660604246845633,1,0,4.224087912087912
13.15,Low Fat,Snack Foods,107.7622,Medium,Tier 3,Supermarket Type3,40,8.299724408105405,0.11997605766925575,1,0,8.19484410646388
16.2,Regular,Frozen Foods,96.9726,Small,Tier 2,Supermarket Type1,23,6.981561905735894,0.01654941388011191,1,0,5.985962962962963
19.2,Regular,Frozen Foods,187.8214,Small,Tier 2,Supermarket Type1,18,8.457556768670226,0.09025157935956862,1,0,9.782364583333335
11.8,Low Fat,Fruits and Vegetables,45.5402,Medium,Tier 1,Supermarket Type1,26,7.323848112222527,0.0,0,0,3.859338983050847
18.5,Regular,Dairy,144.1102,Small,Tier 1,Supermarket Type1,28,7.690355977077498,0.04446058887970798,1,0,7.78974054054054
15.1,Regular,Fruits and Vegetables,145.4786,Medium,Tier 1,Supermarket Type1,26,7.371026672497617,0.09532245245628826,1,0,9.634344370860928
17.6,Regular,Snack Foods,119.6782,Small,Tier 1,Supermarket Type1,28,7.670991609895707,0.04617467819460059,1,0,6.799897727272727
16.35,Low Fat,Fruits and Vegetables,196.4426,High,Tier 3,Supermarket Type1,38,7.5895512779555325,0.06581049308815067,1,0,12.014837920489295
9.0,Regular,Others,56.3614,Small,Tier 1,Supermarket Type1,28,7.344279164130589,0.06680684747657263,1,0,6.262377777777778
11.8,Low Fat,Health and Hygiene,115.3492,Medium,Tier 3,Supermarket Type2,16,7.391346674988575,0.008559315324645331,1,0,9.77535593220339
9.0,Regular,Others,54.3614,Medium,Tier 1,Supermarket Type1,26,6.577024011416922,0.06690731582682663,1,0,6.040155555555556
12.15,Low Fat,Others,113.2834,Medium,Tier 3,Supermarket Type3,40,7.742257914210557,0.03366461620869042,1,0,9.323736625514403
13.35,Low Fat,Dairy,230.5352,Small,Tier 2,Supermarket Type1,21,7.918782353320186,0.097573180921031,1,0,17.268554307116105
18.85,Regular,Snack Foods,250.8724,High,Tier 3,Supermarket Type1,38,8.236178442880584,0.12943952471497538,1,0,13.308880636604773
11.65,Regular,Baking Goods,144.5444,Medium,Tier 3,Supermarket Type3,40,8.30993361912308,0.03478775111826686,1,0,12.407244635193132
14.6,Low Fat,Household,196.5084,Small,Tier 2,Supermarket Type1,21,7.369769074344028,0.025373487084180007,1,0,13.459479452054795
11.65,Low Fat,Baking Goods,107.6938,Small,Tier 1,Grocery Store,40,5.367785591703195,0.05596152930377371,1,1,9.244103004291844
13.85,Regular,Frozen Foods,165.021,Small,Tier 1,Supermarket Type1,28,8.313368081571715,0.025566849845791065,1,0,11.914873646209386
