ItemWeight,MRP,OutletAge,Visibility,IsVisibile,IsGroceryStore,PricePerWeight,ItemType,FatContent_Regular,OutletSize_Medium,OutletSize_Small,LocationType_Tier 2,LocationType_Tier 3,OutletType_Supermarket Type1,OutletType_Supermarket Type2,OutletType_Supermarket Type3,OutletSales
9.5,171.3448,26,0.03460031128631146,1,0,18.036294736842105,7.3693437915387685,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.777468820253609
18.0,170.5422,23,0.046380725707228496,1,0,9.474566666666668,7.33877970179391,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8.04043386575449
17.6,111.7202,28,0.07336368116646272,1,0,6.347738636363636,7.294114261146155,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.025717854075907
8.325,41.6138,23,0.029408541438392253,1,0,4.998654654654655,7.3693437915387685,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.6500180593874125
12.85,155.563,28,0.1285935887115487,1,0,12.106070038910506,7.372674266058409,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.348656426307276
13.1,225.2088,40,0.09511055169814224,1,1,17.19151145038168,7.3693437915387685,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.103492386681937
13.35,171.3422,40,0.013911535309266433,1,1,12.83462172284644,7.289035282682024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.759500020292426
12.15,190.6872,18,0.1247195092690155,1,0,15.694419753086418,7.3693437915387685,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,7.727114934107994
13.85,41.048,28,0.03085752940399889,1,0,2.9637545126353793,7.307915039287236,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.46016733062067
13.15,230.9984,40,0.05505335225167338,1,0,17.56641825095057,7.372674266058409,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,9.134315980047198
20.0,169.6132,27,0.09554839506518006,1,1,8.48066,7.193508569116366,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.130568313177324
7.825,62.7826,16,0.07691750592922578,1,0,8.023335463258785,7.294114261146155,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7.058316782558335
19.25,35.5558,38,0.10250291630715781,1,0,1.8470545454545453,7.33877970179391,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.722284256219333
6.11,43.0086,26,0.0,0,0,7.039050736497545,7.2234073953473965,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.570515387789535
16.35,257.6646,28,0.029020172740696633,1,0,15.759302752293577,7.33877970179391,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.631100280868405
15.75,252.7382,38,0.13145475916302934,1,0,16.046869841269842,7.307915039287236,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.095719608702751
13.1,106.2596,40,0.013439172415028419,1,0,8.111419847328245,7.3693437915387685,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.2457797388527085
17.7,80.9276,16,0.04027663047631508,1,0,4.572180790960452,7.3693437915387685,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.189014560120099
21.25,231.23,18,0.108177960031325,1,0,10.881411764705883,7.260937923637637,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8.016116558103784
17.25,97.0068,28,0.046183160314600354,1,0,5.623582608695652,7.372674266058409,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.521279647033564
14.5,260.4594,23,0.06202887586063575,1,0,17.962717241379313,7.307915039287236,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8.611566095751472
8.02,157.7972,38,0.0,0,0,19.67546134663342,7.33877970179391,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.446450434314859
12.35,57.3246,18,0.026478511557199092,1,0,4.641668016194332,7.358952885950459,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,7.194636380742521
16.75,190.8162,23,0.032131021344815644,1,0,11.392011940298508,7.260937923637637,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,7.96771093537343
5.11,161.721,28,0.03428034595740135,1,0,31.647945205479452,7.33877970179391,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.802542457805725
15.1,139.7496,38,0.05429269837471865,1,0,9.254940397350992,7.33877970179391,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.282024831006003
13.15,99.67,40,0.12612036555259254,1,0,7.5794676806083645,7.33877970179391,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.861965878276525
8.5,50.3324,23,0.09356614258242622,1,0,5.921458823529412,7.358952885950459,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6.514892230309916
10.0,231.7668,38,0.06120984536325425,1,0,23.176679999999998,7.234613874040657,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.132820001776457
16.6,173.5738,21,0.11529493935477331,1,0,10.456253012048192,7.3693437915387685,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,7.555649726279851
14.6,109.7254,16,0.042229466926109606,1,0,7.515438356164383,7.3693437915387685,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.478743716193605
19.1,40.2138,27,0.0730985189701088,1,1,2.105434554973822,7.289035282682024,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.397255090892044
14.8,193.0794,21,0.019289464278008612,1,0,13.045905405405405,7.260937923637637,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8.269138928729847
20.85,197.5452,21,0.11442402003027105,1,0,9.474589928057553,7.372674266058409,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8.367856266855785
16.0,88.9856,38,0.09457226943360354,1,0,5.5616,7.234613874040657,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.420474947911599
13.15,118.9124,40,0.04487818711722313,1,0,9.042768060836503,7.372674266058409,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.953071426798818
12.3,37.2874,38,0.0,0,0,3.031495934959349,7.193508569116366,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.5592582332649005
15.7,112.0202,18,0.10904552566080108,1,0,7.135044585987262,7.358952885950459,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8.055337271257065
7.81,123.1046,28,0.05375567748239138,1,0,15.762432778489117,7.358952885950459,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.770252812068687
8.38,111.857,26,0.04589095313474229,1,0,13.348090692124103,7.193508569116366,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.995016386063697
14.0,129.531,16,0.028568538305610968,1,0,9.252214285714286,7.260937923637637,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7.638822326962315
15.5,50.9692,16,0.08267123192103355,1,0,3.2883354838709677,7.234613874040657,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.976740681042793
8.395,251.504,18,0.06988399951440234,1,0,29.95878499106611,7.307915039287236,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8.865609809054423
7.85,145.2444,28,0.15098591380543774,1,0,18.50247133757962,7.307915039287236,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.2803142019419225
13.15,83.5566,28,0.020504256586968157,1,0,6.354114068441064,7.307915039287236,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.1454713337195885
10.1,225.6088,18,0.0524855193548419,1,0,22.33750495049505,7.3693437915387685,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8.354784185288432
15.7,59.4562,28,0.14899141166204133,1,0,3.787019108280255,7.33877970179391,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.720927745506186
11.8,178.5344,23,0.014016928253911147,1,0,15.130033898305085,7.234613874040657,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8.128660005836085
14.65,52.8666,21,0.09450388119658597,1,0,3.6086416382252557,7.372674266058409,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6.134264045348691
18.0,145.1418,18,0.03848164395506564,1,0,8.063433333333332,7.372674266058409,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,7.881768505572705
20.25,240.8538,21,0.022677400975722874,1,0,11.894014814814815,7.193508569116366,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8.978619565958148
10.3,189.053,23,0.0,0,0,18.354660194174755,7.3693437915387685,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8.577927736602643
5.365,173.4764,27,0.21085513869285633,1,1,32.33483690587139,7.307915039287236,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.146193631080405
7.825,159.0288,38,0.1396666291373441,1,0,20.32316932907348,7.234613874040657,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.1365073928642335
8.27,183.9924,27,0.1940237589897084,1,1,22.248174123337364,7.2234073953473965,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.220855159849425
14.85,142.0812,27,0.14534395997311117,1,1,9.567757575757575,7.193508569116366,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.652357241740584
12.5,103.899,26,0.030624203432128537,1,0,8.31192,7.3693437915387685,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.581098142244475
11.65,88.8514,40,0.1826768270113501,1,1,7.626729613733906,7.193508569116366,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.5821954630486506
12.85,37.0506,40,0.0,0,0,2.8833151750972768,7.234613874040657,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6.89438185201482
9.6,257.8304,28,0.026976451424428494,1,0,26.857333333333333,7.372674266058409,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.500149534837374
4.61,172.5396,18,0.11631180726377895,1,0,37.42724511930586,7.307915039287236,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8.206100987643307
20.25,145.6418,38,0.0,0,0,7.192187654320987,7.33877970179391,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.12689096360569
17.75,249.575,27,0.0565398736389493,1,1,14.060563380281689,7.289035282682024,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.213307252689144
9.0,168.0816,16,0.08278190034979727,1,0,18.675733333333334,7.372674266058409,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7.687612491131747
11.65,100.1384,40,0.0,0,0,8.595570815450644,7.193508569116366,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.991643701585058
20.5,193.9478,38,0.10644477853233027,1,0,9.460868292682926,7.3693437915387685,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.40205152925943
12.15,184.1924,40,0.21231360659416856,1,1,15.159868312757201,7.307915039287236,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.220855159849425
15.0,220.9456,16,0.02659334554026874,1,0,14.729706666666667,7.193508569116366,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7.477810556755112
5.175,83.4224,26,0.03677262094242545,1,0,16.120270531400966,7.358952885950459,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.278477654134621
15.15,145.776,23,0.06420517152026073,1,0,9.622178217821782,7.234613874040657,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8.282698458515478
10.895,133.5284,27,0.058112314731794956,1,1,12.255933914639744,7.3693437915387685,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.574648257413268
6.13,59.3536,26,0.07404494809631905,1,0,9.682479608482872,7.289035282682024,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.2930764535557735
10.8,72.338,26,0.0,0,0,6.697962962962962,7.307915039287236,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.691609684749574
12.85,245.8776,40,0.0795460766804697,1,0,19.134443579766536,7.234613874040657,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8.456566879598375
17.6,98.041,16,0.038625952664475584,1,0,5.570511363636363,7.372674266058409,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.515877937634675
7.935,50.035,38,0.016996718924383345,1,0,6.305608065532451,7.289035282682024,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.009334448363208
13.6,177.937,16,0.009983865934425398,1,0,13.083602941176471,7.33877970179391,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7.737913229606546
8.26,124.873,21,0.03192051314731651,1,0,15.117796610169492,7.2234073953473965,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,7.991643701585058
6.26,111.3228,18,0.031110718755142482,1,0,17.783194888178915,7.33877970179391,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,7.796264287873647
20.75,161.5578,26,0.1033497547323669,1,0,7.785918072289156,7.372674266058409,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.771178160209388
8.18,140.5154,23,0.0,0,0,17.1779217603912,7.33877970179391,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,7.439432861656213
10.195,42.5428,16,0.04125054875776847,1,0,4.1729082883766555,7.372674266058409,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.778621061739204
13.15,172.2764,40,0.09965180674207429,1,0,13.100866920152091,7.372674266058409,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.343418208416624
7.67,33.2216,27,0.2695615746571566,1,1,4.331368970013038,7.33877970179391,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.930772125860106
11.65,52.9298,28,0.16045848544007862,1,0,4.543330472103004,7.289035282682024,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.472589850619227
13.1,196.3768,21,0.09418764636297876,1,0,14.99059541984733,7.234613874040657,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,7.6814887732812185
19.1,40.8796,18,0.06548437617562777,1,0,2.1402931937172776,7.33877970179391,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.9175930085400985
16.75,169.8106,38,0.05873600939254917,1,0,10.137946268656716,7.289035282682024,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.086749110220447
6.675,92.9462,16,0.0,0,0,13.92452434456929,7.372674266058409,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.92560325208785
9.3,156.1314,18,0.03307410176674135,1,0,16.78832258064516,7.294114261146155,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6.430566860844379
16.25,90.2804,16,0.0,0,0,5.555716923076923,7.358952885950459,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7.410859489212156
6.65,149.3734,23,0.05202111900894086,1,0,22.462165413533835,7.358952885950459,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.693552998178852
5.94,186.4556,27,0.04799300938310744,1,1,31.38983164983165,7.307915039287236,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.333753405765011
20.0,105.3622,26,0.0991620228321116,1,0,5.26811,7.358952885950459,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.147044898167019
13.1,178.5318,23,0.04332956409811973,1,0,13.628381679389314,7.3693437915387685,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8.028566211094704
12.15,258.8988,40,0.06520056537541406,1,0,21.308543209876543,7.307915039287236,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8.033978065411619
15.6,221.5798,38,0.08401636591820735,1,0,14.203833333333334,7.372674266058409,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.614228246404052
17.6,160.4552,18,0.010046053004330133,1,0,9.116772727272727,7.372674266058409,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,7.862990993691771
11.0,218.7798,23,0.12523576384645688,1,0,19.889072727272726,7.358952885950459,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,7.697937514529896
20.25,222.0772,38,0.01861511365734936,1,0,10.966775308641976,7.3693437915387685,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.043432368750747
12.85,39.8506,40,0.07760712682225969,1,1,3.1012140077821013,7.234613874040657,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.6362853139933375
10.395,230.5352,23,0.036291211928576886,1,0,22.17750841750842,7.294114261146155,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8.429607977086176
7.365,225.172,21,0.041671750175630566,1,0,30.57325186693822,7.3693437915387685,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8.130229864871204
18.85,41.048,23,0.03895529235537444,1,0,2.1776127320954908,7.372674266058409,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6.823072824310038
11.8,73.0696,40,0.05680007142075015,1,1,6.192338983050846,7.2234073953473965,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.410345206121992
13.1,140.6154,40,0.0354727492647028,1,0,10.734,7.3693437915387685,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8.420262114667938
15.1,130.531,26,0.019768488478162725,1,0,8.644437086092715,7.234613874040657,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.812143753777848
20.2,94.9752,26,0.11461602953801359,1,0,4.701742574257426,7.372674266058409,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.202104675350046
10.695,121.144,28,0.12020419295481394,1,0,11.327162225338943,7.289035282682024,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.558779619288779
12.35,117.0124,28,0.1518124657626771,1,0,9.474688259109312,7.33877970179391,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.339966953912409
11.35,52.4008,21,0.0,0,0,4.616810572687225,7.372674266058409,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6.6965561086848995
17.0,171.7106,23,0.1275207929823066,1,0,10.100623529411765,7.3693437915387685,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,7.444895224048053
7.05,111.1912,28,0.0815486694513426,1,0,15.771801418439717,7.372674266058409,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.583472231879151
9.695,177.7344,18,0.06844620649286766,1,0,18.33258380608561,7.307915039287236,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,7.381445604005863
6.78,184.624,21,0.06448397621252368,1,0,27.230678466076693,7.3693437915387685,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8.595319479314512
13.15,164.1184,40,0.006643549671817933,1,0,12.480486692015209,7.33877970179391,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8.242157008252919
9.1,48.0718,27,0.1260984430715135,1,1,5.282615384615386,7.33877970179391,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.8559139232001027
9.1,112.5518,26,0.05402872273974311,1,0,12.36832967032967,7.33877970179391,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.833509891329557
12.15,158.6604,40,0.05322883866261342,1,1,13.05846913580247,7.307915039287236,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.758651900390207
